year,stage,rider_name,position,won,stage_type,elevation,distance_km,pcs_ranking,rider_type,gap_pct,hist_stage_wins,PCS_points
2020,1,Alexander Kristoff,1,1,hilly,1597,156.0,633,Classic,0.0,98,380
2020,1,Mads Pedersen,2,0,hilly,1597,156.0,28,Classic,0.0,60,488
2020,1,Cees Bol,3,0,hilly,1597,156.0,396,Sprint,0.0,6,136
2020,1,Sam Bennett,4,0,hilly,1597,156.0,1529,Sprint,0.0,71,12
2020,1,Peter Sagan,5,0,hilly,1597,156.0,0,Classic,0.0,121,0
2020,1,Elia Viviani,6,0,hilly,1597,156.0,515,Sprint,0.0,90,150
2020,1,Giacomo Nizzolo,7,0,hilly,1597,156.0,1204,Sprint,0.0,31,148
2020,1,Bryan Coquard,8,0,hilly,1597,156.0,145,Sprint,0.0,55,317
2020,1,Anthony Turgis,9,0,hilly,1597,156.0,126,Classic,0.0,7,312
2020,1,Jasper Stuyven,10,0,hilly,1597,156.0,65,Classic,0.0,9,540
2020,1,Oliver Naesen,11,0,hilly,1597,156.0,357,Classic,0.0,5,107
2020,1,Matteo Trentin,12,0,hilly,1597,156.0,73,Classic,0.0,32,295
2020,1,Clément Venturini,13,0,hilly,1597,156.0,77,Classic,0.0,5,477
2020,1,Luka Mezgec,14,0,hilly,1597,156.0,760,Hills,0.0,19,31
2020,1,Hugo Houle,15,0,hilly,1597,156.0,812,GC,0.0,3,25
2020,1,Sergio Higuita,16,0,hilly,1597,156.0,124,Climber,0.0,10,217
2020,1,Tadej Pogačar,17,0,hilly,1597,156.0,1,Climber,0.0,117,1770
2020,1,Connor Swift,18,0,hilly,1597,156.0,571,Classic,0.0,3,65
2020,1,Caleb Ewan,19,0,hilly,1597,156.0,0,Sprint,0.0,65,70
2020,1,Christophe Laporte,20,0,hilly,1597,156.0,49,Classic,0.0,34,554
2020,1,Jonas Koch,21,0,hilly,1597,156.0,1600,Hills,0.0,0,38
2020,1,Michael Mørkøv,22,0,hilly,1597,156.0,0,Classic,0.0,0,0
2020,1,Marco Haller,23,0,hilly,1597,156.0,416,Classic,0.0,6,48
2020,1,Cyril Gautier,24,0,hilly,1597,156.0,0,Classic,0.0,5,12
2020,1,Davide Formolo,25,0,hilly,1597,156.0,624,Climber,0.0,6,5
2020,1,Andrey Amador,26,0,hilly,1597,156.0,0,GC,0.0,2,5
2020,1,LaengenVegard Stake,27,0,hilly,1597,156.0,0,GC,0.0,0,0
2020,1,Simone Consonni,28,0,hilly,1597,156.0,692,Classic,0.0,3,41
2020,1,Jan Polanc,29,0,hilly,1597,156.0,0,GC,0.0,4,376
2020,1,Edward Theuns,30,0,hilly,1597,156.0,565,Classic,0.0,10,74
2020,1,Jack Bauer,31,0,hilly,1597,156.0,0,TT,0.0,6,25
2020,1,Casper Pedersen,32,0,hilly,1597,156.0,576,Classic,0.0,3,84
2020,1,Joris Nieuwenhuis,33,0,hilly,1597,156.0,0,Classic,0.0,0,0
2020,1,Kragh AndersenSøren,34,0,hilly,1597,156.0,0,TT,0.0,0,0
2020,1,van AertWout,35,0,hilly,1597,156.0,0,Classic,0.0,0,0
2020,1,MartínezDaniel Felipe,36,0,hilly,1597,156.0,0,GC,0.0,0,0
2020,1,Clément Russo,37,0,hilly,1597,156.0,453,Classic,0.0,1,54
2020,1,JansenAmund Grøndahl,38,0,hilly,1597,156.0,0,Classic,0.0,0,0
2020,1,Primož Roglič,39,0,hilly,1597,156.0,50,Climber,0.0,91,311
2020,1,Ryan Gibbons,40,0,hilly,1597,156.0,1414,Hills,0.0,10,10
2020,1,Sepp Kuss,41,0,hilly,1597,156.0,69,Climber,0.0,12,228
2020,1,Marco Marcato,42,0,hilly,1597,156.0,0,Classic,0.0,5,20
2020,1,Tom Dumoulin,43,0,hilly,1597,156.0,0,TT,0.0,22,0
2020,1,Richard Carapaz,44,0,hilly,1597,156.0,165,Climber,0.0,24,180
2020,1,Egan Bernal,45,0,hilly,1597,156.0,37,GC,0.0,23,483
2020,1,Esteban Chaves,46,0,hilly,1597,156.0,0,Climber,0.0,0,0
2020,1,Jens Debusschere,47,0,hilly,1597,156.0,0,Classic,0.0,15,0
2020,1,Daniel Oss,48,0,hilly,1597,156.0,0,Classic,0.0,2,0
2020,1,De BuystJasper,49,0,hilly,1597,156.0,0,Classic,0.0,0,0
2020,1,Roger Kluge,50,0,hilly,1597,156.0,0,Sprint,0.0,5,0
2020,1,Christopher Juul Jensen,51,0,hilly,1597,156.0,0,GC,0.0,0,0
2020,1,Tony Martin,52,0,hilly,1597,156.0,0,TT,0.0,67,164
2020,1,Kasper Asgreen,53,0,hilly,1597,156.0,530,TT,0.0,14,64
2020,1,Cyril Barthe,54,0,hilly,1597,156.0,553,Hills,0.0,0,60
2020,1,Fabien Grellier,55,0,hilly,1597,156.0,1954,Classic,0.0,0,0
2020,1,Kévin Reza,56,0,hilly,1597,156.0,0,Hills,0.0,0,0
2020,1,Mikaël Cherel,57,0,hilly,1597,156.0,0,GC,0.0,0,56
2020,1,Van AsbroeckTom,58,0,hilly,1597,156.0,0,Classic,0.0,0,0
2020,1,Dayer Quintana,59,0,hilly,1597,156.0,0,GC,0.0,0,0
2020,1,Nairo Quintana,60,0,hilly,1597,156.0,245,GC,0.0,53,241
2020,1,Fabio Aru,61,0,hilly,1597,156.0,0,Climber,0.0,9,285
2020,1,Maxime Chevalier,62,0,hilly,1597,156.0,0,GC,0.0,0,0
2020,1,Gregor Mühlberger,63,0,hilly,1597,156.0,201,Climber,0.0,9,123
2020,1,Tiesj Benoot,64,0,hilly,1597,156.0,291,Classic,0.0,4,593
2020,1,Felix Großschartner,65,0,hilly,1597,156.0,0,GC,0.0,0,0
2020,1,Emanuel Buchmann,66,0,hilly,1597,156.0,667,GC,0.0,5,0
2020,1,Simon Geschke,67,0,hilly,1597,156.0,0,Climber,0.0,3,208
2020,1,Van AvermaetGreg,68,0,hilly,1597,156.0,0,Classic,0.0,0,0
2020,1,Robert Gesink,69,0,hilly,1597,156.0,0,GC,0.0,13,0
2020,1,Hugo Hofstetter,70,0,hilly,1597,156.0,306,Classic,0.0,3,196
2020,1,van GarderenTejay,71,0,hilly,1597,156.0,0,GC,0.0,0,0
2020,1,Jens Keukeleire,72,0,hilly,1597,156.0,0,Classic,0.0,11,61
2020,1,Quentin Pacher,73,0,hilly,1597,156.0,572,Hills,0.0,0,72
2020,1,Luc Périchon Pierre,74,0,hilly,1597,156.0,0,Classic,0.0,0,0
2020,1,Guillaume Martin,75,0,hilly,1597,156.0,162,Climber,0.0,11,215
2020,1,Michał Kwiatkowski,76,0,hilly,1597,156.0,0,Classic,0.0,0,0
2020,1,Geoffrey Soupe,77,0,hilly,1597,156.0,1283,Sprint,0.0,4,29
2020,1,Nelson Oliveira,78,0,hilly,1597,156.0,529,TT,0.0,6,71
2020,1,de la CruzDavid,79,0,hilly,1597,156.0,0,GC,0.0,0,0
2020,1,Enric Mas,80,0,hilly,1597,156.0,374,Climber,0.0,6,114
2020,1,Alexis Vuillermoz,81,0,hilly,1597,156.0,0,Climber,0.0,9,31
2020,1,Pierre Latour,82,0,hilly,1597,156.0,1019,GC,0.0,7,234
2020,1,Nans Peters,83,0,hilly,1597,156.0,917,Classic,0.0,3,90
2020,1,Romain Bardet,84,0,hilly,1597,156.0,0,Climber,0.0,11,0
2020,1,Neilson Powless,85,0,hilly,1597,156.0,273,Classic,0.0,8,0
2020,1,Hugh Carthy,86,0,hilly,1597,156.0,0,GC,0.0,7,10
2020,1,Alberto Bettiol,87,0,hilly,1597,156.0,104,Classic,0.0,9,141
2020,1,Krists Neilands,88,0,hilly,1597,156.0,358,Classic,0.0,9,106
2020,1,Max Walscheid,89,0,hilly,1597,156.0,280,Sprint,0.0,13,213
2020,1,Michael Valgren,90,0,hilly,1597,156.0,0,Classic,0.0,0,0
2020,1,Boasson HagenEdvald,91,0,hilly,1597,156.0,0,Classic,0.0,0,0
2020,1,Gorka Izagirre,92,0,hilly,1597,156.0,0,GC,0.0,9,27
2020,1,Rigoberto Urán,93,0,hilly,1597,156.0,0,Climber,0.0,0,0
2020,1,Pierre Rolland,94,0,hilly,1597,156.0,0,Climber,0.0,12,0
2020,1,Nicolas Edet,95,0,hilly,1597,156.0,0,GC,0.0,2,0
2020,1,Bauke Mollema,96,0,hilly,1597,156.0,401,Climber,0.0,18,15
2020,1,Michael Gogl,97,0,hilly,1597,156.0,1022,Classic,0.0,0,25
2020,1,Mikel Nieve,98,0,hilly,1597,156.0,0,Climber,0.0,5,19
2020,1,Maximilian Schachmann,99,0,hilly,1597,156.0,494,GC,0.0,16,57
2020,1,van BaarleDylan,100,0,hilly,1597,156.0,0,Classic,0.0,0,0
2020,1,Kenny Elissonde,101,0,hilly,1597,156.0,0,Climber,0.0,2,32
2020,1,Nicolas Roche,102,0,hilly,1597,156.0,0,Climber,0.0,12,0
2020,1,Jan Hirt,103,0,hilly,1597,156.0,376,GC,0.0,5,160
2020,1,De MarchiAlessandro,104,0,hilly,1597,156.0,0,Climber,0.0,0,0
2020,1,Dries Devenyns,105,0,hilly,1597,156.0,0,GC,0.0,7,60
2020,1,Tim Declercq,106,0,hilly,1597,156.0,0,Classic,0.0,0,15
2020,1,Julian Alaphilippe,107,0,hilly,1597,156.0,58,Classic,0.0,45,57
2020,1,Bob Jungels,108,0,hilly,1597,156.0,570,TT,0.0,27,10
2020,1,Alexey Lutsenko,109,0,hilly,1597,156.0,0,GC,0.0,0,0
2020,1,Ilnur Zakarin,110,0,hilly,1597,156.0,0,GC,0.0,8,0
2020,1,Imanol Erviti,111,0,hilly,1597,156.0,0,GC,0.0,3,77
2020,1,Jonathan Castroviejo,112,0,hilly,1597,156.0,1599,TT,0.0,11,38
2020,1,SánchezLuis León,113,0,hilly,1597,156.0,0,GC,0.0,0,0
2020,1,Benoît Cosnefroy,114,0,hilly,1597,156.0,47,Classic,0.0,25,838
2020,1,Richie Porte,115,0,hilly,1597,156.0,0,GC,0.0,33,0
2020,1,Adam Yates,116,0,hilly,1597,156.0,50,Climber,0.0,34,390
2020,1,Daryl Impey,117,0,hilly,1597,156.0,0,Hills,0.0,30,29
2020,1,Dan Martin,118,0,hilly,1597,156.0,0,Climber,0.0,22,0
